Date,Name,Year,Letterboxd URI
2025-12-29,Paint Drying,2016,https://boxd.it/UYIe
2025-12-31,Thiruda Thiruda,1993,https://boxd.it/3Lyu
2026-01-01,Thenavattu,2008,https://boxd.it/2hXi
2026-01-01,Paruthiveeran,2007,https://boxd.it/2hOU
2026-01-03,Thee,1981,https://boxd.it/aSsC
2026-01-04,Bhagavanth Kesari,2023,https://boxd.it/B0OS
2026-01-05,Siren,2024,https://boxd.it/Cx1G
2026-01-06,The Greatest of All Time,2024,https://boxd.it/GIkW
2026-01-07,Valimai,2022,https://boxd.it/nLOC
2026-01-08,Dennis the Menace,1993,https://boxd.it/1SrQ
2026-01-09,Thiruvannamalai,2008,https://boxd.it/832
2026-01-09,Thiruda Thirudi,2003,https://boxd.it/2hZI
2026-01-10,Yamadonga,2007,https://boxd.it/2FcU
2026-01-10,Sura,2010,https://boxd.it/13y2
2026-01-12,Arul,2004,https://boxd.it/6lS
2026-01-12,Veeram,2014,https://boxd.it/7g7q
2026-01-12,Mask,2025,https://boxd.it/Oa34
2026-01-13,Japan,2023,https://boxd.it/Cdlw
2026-01-15,Catch Me If You Can,2002,https://boxd.it/29VS
2026-01-17,Annaatthe,2021,https://boxd.it/sgNy
2026-01-18,Thimiru,2006,https://boxd.it/2EXq
2026-01-21,Azhagiya Tamil Magan,2007,https://boxd.it/6s0
2026-01-21,Kotaro Lives Alone,2022,https://boxd.it/zR7e
2026-01-23,Thenali,2000,https://boxd.it/2hSi
2026-01-25,Sirai,2025,https://boxd.it/Veui
2026-01-25,Thiruvilaiyaadal Aarambam,2006,https://boxd.it/3Lya
2026-01-28,Akhanda,2021,https://boxd.it/tUCs
2026-01-29,Vaa Vaathiyaar,2026,https://boxd.it/G5GO
2026-02-01,Dhurandhar,2025,https://boxd.it/NhCI
2026-02-02,Oosaravelli,2011,https://boxd.it/2N8Q
2026-02-04,Andhadhun,2018,https://boxd.it/jtfc
2026-02-04,The Invisible Guest,2016,https://boxd.it/euce
2026-02-06,Magadheera,2009,https://boxd.it/1yMa
